place	latitude	longitude
Morocco	28.5	-10
Morocco	28.5	-10
Israel	31.5	34.75
Israel	31.5	34.75
Gaza	31.50161	34.46672
Gaza	31.50161	34.46672
Rabat	34.01325	-6.83255
Rabat	34.01325	-6.83255
United States	39.76	-98.5
United States	39.76	-98.5
United Arab Emirates	23.75	54.5
United Arab Emirates	23.75	54.5
UAE	12.26667	-14.7
UAE	12.26667	-14.7
Bahrain	26.03333	50.55
Bahrain	26.03333	50.55
Sudan	16	30
Sudan	16	30
US	49.1	1.96667
US	49.1	1.96667
Western Sahara	10.01211	105.83224
Western Sahara	10.01211	105.83224
Washington	47.50012	-120.50147
Washington	47.50012	-120.50147
Tel Aviv	32.08088	34.78057
Tel Aviv	32.08088	34.78057
Algeria	28	3
Algeria	28	3
Marrakesh	31.63416	-7.99994
Marrakesh	31.63416	-7.99994
Moroccos	NA	NA
Maghreb	30	5
Maghreb	30	5
Ukraine	49	32
Ukraine	49	32
Saudi Arabia	25	45
Saudi Arabia	25	45
California	37.25022	-119.75126
California	37.25022	-119.75126
West Bank	19.38197	-81.39281
West Bank	19.38197	-81.39281
Dena	28.44289	90.28327
Dena	28.44289	90.28327
Israels	37.97986	-78.69724
Israels	37.97986	-78.69724
Oakland	37.80437	-122.2708
Oakland	37.80437	-122.2708
South Africa	26.5	-81
South Africa	26.5	-81
Jordan	31	36
Jordan	31	36
Jerusalem	31.76904	35.21633
Jerusalem	31.76904	35.21633
East Jerusalem	31.78336	35.23388
East Jerusalem	31.78336	35.23388
Egypt	27	30
Egypt	27	30
Qatar	25.5	51.25
Qatar	25.5	51.25
Kuala Lumpur	3.1412	101.68653
Kuala Lumpur	3.1412	101.68653
Malaysia	2.5	112.5
Malaysia	2.5	112.5
Palestine	31.92157	35.20329
Palestine	31.92157	35.20329
Indonesias	NA	NA
Jakarta	-6.21462	106.84513
Jakarta	-6.21462	106.84513
Johannesburg	-26.20227	28.04363
Johannesburg	-26.20227	28.04363
London	51.50853	-0.12574
London	51.50853	-0.12574
Paris	48.85341	2.3488
Paris	48.85341	2.3488
Vienna	48.20849	16.37208
Vienna	48.20849	16.37208
Berlin	52.52437	13.41053
Berlin	52.52437	13.41053
Amman	31.95522	35.94503
Amman	31.95522	35.94503
Washington DC	47.50012	-120.50147
Washington DC	47.50012	-120.50147
UK	54.75844	-2.69531
UK	54.75844	-2.69531
Manchester	42.99564	-71.45479
Manchester	42.99564	-71.45479
Yemen	15.5	47.5
Yemen	15.5	47.5
India	22	79
India	22	79
Hyderabad	17.38405	78.45636
Hyderabad	17.38405	78.45636
Colombos Kollupitiya	NA	NA
Namibia	-22	17
Namibia	-22	17
Germany	51.5	10.5
Germany	51.5	10.5
Palestinian Territories	31.92157	35.20329
Palestinian Territories	31.92157	35.20329
Sweden	62	15
Sweden	62	15
Iran	32	53
Iran	32	53
Kerman	30.28321	57.07879
Kerman	30.28321	57.07879
Lebanon	33.83333	35.83333
Lebanon	33.83333	35.83333
Bethlehem	40.62593	-75.37046
Bethlehem	40.62593	-75.37046
Nairoukh	NA	NA
China	35	105
China	35	105
Italy	42.83333	12.83333
Italy	42.83333	12.83333
Spain	40	-4
Spain	40	-4
Turkey	39	35
Turkey	39	35
Shawawra	NA	NA
Hague	52.51118	-106.41859
Hague	52.51118	-106.41859
South Africas	26.5	-81
South Africas	26.5	-81
Gaza Strip	31.50161	34.46672
Gaza Strip	31.50161	34.46672
Khan Younis	31.34018	34.30627
Khan Younis	31.34018	34.30627
Syria	35	38
Syria	35	38
Mazzeh	NA	NA
Damascus	33.5102	36.29128
Damascus	33.5102	36.29128
Houthis	NA	NA
Red Sea	52.26682	-113.802
Red Sea	52.26682	-113.802
BabelMandeb Strait	6.8127	122.0236
BabelMandeb Strait	6.8127	122.0236
Gulf of Aden	12	48
Gulf of Aden	12	48
Sanaa	15.35472	44.20667
Sanaa	15.35472	44.20667
United Kingdom	54.75844	-2.69531
United Kingdom	54.75844	-2.69531
Hodeidah	14.79781	42.95452
Hodeidah	14.79781	42.95452
Taiz	13.57952	44.02091
Taiz	13.57952	44.02091
Dhamar	14.54274	44.40514
Dhamar	14.54274	44.40514
alBayda	18.86139	42.07078
alBayda	18.86139	42.07078
Saada	16.94021	43.76393
Saada	16.94021	43.76393
Arabian Sea	25	45
Arabian Sea	25	45
Bab alMandeb Strait	30.73222	56.7175
Bab alMandeb Strait	30.73222	56.7175
Asia	29.84064	89.29688
Asia	29.84064	89.29688
Europe	48.69096	9.14062
Europe	48.69096	9.14062
Kuwait	29.5	47.75
Kuwait	29.5	47.75
Middle East	33.13906	35.85869
Middle East	33.13906	35.85869
Ankara	39.91987	32.85427
Ankara	39.91987	32.85427
West	42.77268	-116.9579
West	42.77268	-116.9579
Tehran	35.69439	51.42151
Tehran	35.69439	51.42151
South Carolina	34.00043	-81.00009
South Carolina	34.00043	-81.00009
New York City	40.71427	-74.00597
New York City	40.71427	-74.00597
Gazas	-23.5	33
Gazas	-23.5	33
Gaza City	31.50161	34.46672
Gaza City	31.50161	34.46672
Rafah	31.29722	34.24357
Rafah	31.29722	34.24357
Strip	-27.51667	27.05
Strip	-27.51667	27.05
Istanbul	41.01384	28.94966
Istanbul	41.01384	28.94966
Greece	39	22
Greece	39	22
Crete	35.15585	24.89502
Crete	35.15585	24.89502
Washingtons	41.88734	-123.79979
Washingtons	41.88734	-123.79979
Iraq	33	44
Iraq	33	44
Gulf	-7.7246	145.08545
Gulf	-7.7246	145.08545
alDabshah	NA	NA
Khirbet Selm	33.22931	35.42407
Khirbet Selm	33.22931	35.42407
Bint Jbeil	33.11944	35.43333
Bint Jbeil	33.11944	35.43333
Beirut	33.89332	35.50157
Beirut	33.89332	35.50157
Ibil El Saqi	33.35667	35.62639
Ibil El Saqi	33.35667	35.62639
alTawils	NA	NA
alKhader	NA	NA
Bekaa Valley	33.83333	36
Bekaa Valley	33.83333	36
Litani River	3.3	-54.1
Litani River	3.3	-54.1
Netherlands	52.25	5.75
Netherlands	52.25	5.75
Malta	35.91667	14.43333
Malta	35.91667	14.43333
Gulf of Oman	8.5	79
Gulf of Oman	8.5	79
Davos	46.80429	9.83723
Davos	46.80429	9.83723
Switzerland	47.00016	8.01427
Switzerland	47.00016	8.01427
Deir elBalah	35.33588	40.14084
Deir elBalah	35.33588	40.14084
Maghazi	31.42234	34.38501
Maghazi	31.42234	34.38501
Nuseirat	31.44861	34.3925
Nuseirat	31.44861	34.3925
Manchester City	42.99564	-71.45479
Manchester City	42.99564	-71.45479
Barcelona	41.38879	2.15899
Barcelona	41.38879	2.15899
Bab elMandeb strait	12.60416	43.33557
Bab elMandeb strait	12.60416	43.33557
Djibouti	11.83333	42.5
Djibouti	11.83333	42.5
Southern Red Sea	21.28937	78.66211
Southern Red Sea	21.28937	78.66211
Africas Cape of Good Hope	42.3601	-71.06588
Africas Cape of Good Hope	42.3601	-71.06588
alShifa	NA	NA
Gretna	41.14083	-96.23974
Gretna	41.14083	-96.23974
Louisiana	31.00047	-92.0004
Louisiana	31.00047	-92.0004
New Orleans	29.95465	-90.07507
New Orleans	29.95465	-90.07507
MirandaCleland	NA	NA
France	46	2
France	46	2
majedalansari	NA	NA
Kan	12.00012	8.51672
Kan	12.00012	8.51672
alMawasi district	14.3656	44.7778
alMawasi district	14.3656	44.7778
Mediterranean	35.78	19.33
Mediterranean	35.78	19.33
Africa	7.1881	21.09375
Africa	7.1881	21.09375
Jenin	32.45943	35.30086
Jenin	32.45943	35.30086
Thameen Darby	NA	NA
Nakba Layer	NA	NA
Russia	60	100
Russia	60	100
Canada	60.10867	-113.64258
Canada	60.10867	-113.64258
Mercator	NA	NA
Alaska	64.00028	-150.00028
Alaska	64.00028	-150.00028
Mexico	23	-102
Mexico	23	-102
South America	-14.60485	-57.65625
South America	-14.60485	-57.65625
AsiaPacific	NA	NA
Golan Heights	32.90485	35.80725
Golan Heights	32.90485	35.80725
Crimea	45	34
Crimea	45	34
South China Sea	51.53782	0.71433
South China Sea	51.53782	0.71433
Philippines	13.40882	122.56155
Philippines	13.40882	122.56155
Vietnam	16.16667	107.83333
Vietnam	16.16667	107.83333
Pakistan	30	70
Pakistan	30	70
Kashmir	30.33315	63.19089
Kashmir	30.33315	63.19089
New Delhi	28.62137	77.2148
New Delhi	28.62137	77.2148
Islamabad	33.72148	73.04329
Islamabad	33.72148	73.04329
Darbys Nakba	33.75004	-85.76147
Darbys Nakba	33.75004	-85.76147
State of Israel	20.5	84.41667
State of Israel	20.5	84.41667
Hebron	31.52935	35.0938
Hebron	31.52935	35.0938
Lama Khater	9.55111	1.18611
Lama Khater	9.55111	1.18611
Kiryat Arba	33.20733	35.57212
Kiryat Arba	33.20733	35.57212
Bureij	31.43944	34.40306
Bureij	31.43944	34.40306
alMahatta	NA	NA
Belgium	50.75	4.5
Belgium	50.75	4.5
alMazraa	NA	NA
Mediterranean Sea	35.78	19.33
Mediterranean Sea	35.78	19.33
Ajaq	35.64005	48.84628
Ajaq	35.64005	48.84628
Silwad	31.97625	35.2613
Silwad	31.97625	35.2613
Cairo	30.06263	31.24967
Cairo	30.06263	31.24967
Yemens	NA	NA
Australia	-25	135
Australia	-25	135
Denmark	56	10
Denmark	56	10
New Zealand	-42	174
New Zealand	-42	174
South Korea	36.5	127.75
South Korea	36.5	127.75
Norway	62	10
Norway	62	10
Hamass	NA	NA
Yaroun	33.08028	35.4225
Yaroun	33.08028	35.4225
Lebanons Nabatieh	NA	NA
Yiron	33.07757	35.4546
Yiron	33.07757	35.4546
Avivim	33.08892	35.47228
Avivim	33.08892	35.47228
Israels Goren	41.68181	-70.27889
Israels Goren	41.68181	-70.27889
Shatila	42.65879	45.15632
Shatila	42.65879	45.15632
Dahiyeh	NA	NA
DC	38.91706	-77.00025
DC	38.91706	-77.00025
Doha	25.28545	51.53096
Doha	25.28545	51.53096
Lisbon	38.71667	-9.13333
Lisbon	38.71667	-9.13333
Portugal	39.6945	-8.13057
Portugal	39.6945	-8.13057
Walla	-2.85662	33.32102
Walla	-2.85662	33.32102
Somalia	6	48
Somalia	6	48
Yemens Red Sea	43.22368	-76.73856
Yemens Red Sea	43.22368	-76.73856
Yemens coast	NA	NA
Lebanons	NA	NA
Seychelles	-4.58333	55.66667
Seychelles	-4.58333	55.66667
Bab alMandeb strait	30.73222	56.7175
Bab alMandeb strait	30.73222	56.7175
North Africa	32.95337	9.97559
North Africa	32.95337	9.97559
Marib	15.6213	46.0111
Marib	15.6213	46.0111
Gaza strip	31.50161	34.46672
Gaza strip	31.50161	34.46672
Gaza Strips	31.50161	34.46672
Gaza Strips	31.50161	34.46672
Khreiss	NA	NA
Northern Gaza	54.77535	-105.64453
Northern Gaza	54.77535	-105.64453
Hong Kong	22.27832	114.17469
Hong Kong	22.27832	114.17469
State of Palestine	30.25	79.25
State of Palestine	30.25	79.25
Bolivia	-17	-65
Bolivia	-17	-65
Bangladesh	24	90
Bangladesh	24	90
Comoros	-12.23333	44.44553
Comoros	-12.23333	44.44553
Myanmar	21	96
Myanmar	21	96
northGaza	NA	NA
Erbil	36.19117	44.00943
Erbil	36.19117	44.00943
Pakistans Balochistan province	41.22825	33.15674
Pakistans Balochistan province	41.22825	33.15674
Irans SistanBaluchestan province	NA	NA
Irans	NA	NA
Afghanistan	33	66
Afghanistan	33	66
Rask	29.49114	57.18543
Rask	29.49114	57.18543
SistanBaluchestan	NA	NA
Strait of Hormuz	26.56667	56.25
