place	latitude	longitude
West Bank	19.38197	-81.39281
West Bank	19.38197	-81.39281
Dura	28.8	49.23333
Dura	28.8	49.23333
Hebron	31.52935	35.0938
Hebron	31.52935	35.0938
Tulkarem	32.31156	35.0269
Tulkarem	32.31156	35.0269
Gaza Strip	31.50161	34.46672
Gaza Strip	31.50161	34.46672
Israel	31.5	34.75
Israel	31.5	34.75
Nablus	32.22111	35.25444
Nablus	32.22111	35.25444
Red Sea	52.26682	-113.802
Red Sea	52.26682	-113.802
United States	39.76	-98.5
United States	39.76	-98.5
United Kingdom	54.75844	-2.69531
United Kingdom	54.75844	-2.69531
Yemen	15.5	47.5
Yemen	15.5	47.5
Iran	32	53
Iran	32	53
Gaza	31.50161	34.46672
Gaza	31.50161	34.46672
US	49.1	1.96667
US	49.1	1.96667
Sanaa	15.35472	44.20667
Sanaa	15.35472	44.20667
Saudi Arabia	25	45
Saudi Arabia	25	45
Aden	12.77944	45.03667
Aden	12.77944	45.03667
Tel Aviv	32.08088	34.78057
Tel Aviv	32.08088	34.78057
UK	54.75844	-2.69531
UK	54.75844	-2.69531
Palestine	31.92157	35.20329
Palestine	31.92157	35.20329
Suez Canal	29.93139	32.56278
Suez Canal	29.93139	32.56278
Africa	7.1881	21.09375
Africa	7.1881	21.09375
Marib	15.6213	46.0111
Marib	15.6213	46.0111
Middle East	33.13906	35.85869
Middle East	33.13906	35.85869
United Arab Emirates	23.75	54.5
United Arab Emirates	23.75	54.5
Turkey	39	35
Turkey	39	35
Jordan	31	36
Jordan	31	36
Qatar	25.5	51.25
Qatar	25.5	51.25
UAE	12.26667	-14.7
UAE	12.26667	-14.7
Charleston	32.77632	-79.93275
Charleston	32.77632	-79.93275
South Carolina	34.00043	-81.00009
South Carolina	34.00043	-81.00009
Gaza City	31.50161	34.46672
Gaza City	31.50161	34.46672
Doha	25.28545	51.53096
Doha	25.28545	51.53096
Hong Kong	22.27832	114.17469
Hong Kong	22.27832	114.17469
Abdullah bin Khalifa Stadium	-8.9221	29.9336
Abdullah bin Khalifa Stadium	-8.9221	29.9336
South Africa	26.5	-81
South Africa	26.5	-81
State of Palestine	30.25	79.25
State of Palestine	30.25	79.25
Lebanon	33.83333	35.83333
Lebanon	33.83333	35.83333
Hague	52.51118	-106.41859
Hague	52.51118	-106.41859
Pretoria	-25.74486	28.18783
Pretoria	-25.74486	28.18783
Uganda	1.25	32.5
Uganda	1.25	32.5
China	35	105
China	35	105
Russia	60	100
Russia	60	100
Kuwait	29.5	47.75
Kuwait	29.5	47.75
Gazas	-23.5	33
Gazas	-23.5	33
Ukraine	49	32
Ukraine	49	32
Canada	60.10867	-113.64258
Canada	60.10867	-113.64258
Montreal	45.50884	-73.58781
Montreal	45.50884	-73.58781
Milton Ontario	52.04172	-0.75583
Milton Ontario	52.04172	-0.75583
Jabalia	31.5272	34.48347
Jabalia	31.5272	34.48347
Israels	37.97986	-78.69724
Israels	37.97986	-78.69724
Ottawa	45.41117	-75.69812
Ottawa	45.41117	-75.69812
Egypt	27	30
Egypt	27	30
Rafah	31.29722	34.24357
Rafah	31.29722	34.24357
Toronto	43.70643	-79.39864
Toronto	43.70643	-79.39864
Calgary	51.05011	-114.08529
Calgary	51.05011	-114.08529
Afghanistan	33	66
Afghanistan	33	66
Austria	47.33333	13.33333
Austria	47.33333	13.33333
Australia	-25	135
Australia	-25	135
Finland	64	26
Finland	64	26
Germany	51.5	10.5
Germany	51.5	10.5
Italy	42.83333	12.83333
Italy	42.83333	12.83333
Japan	35.68536	139.75309
Japan	35.68536	139.75309
Netherlands	52.25	5.75
Netherlands	52.25	5.75
Iceland	65	-18
Iceland	65	-18
Sweden	62	15
Sweden	62	15
Switzerland	47.00016	8.01427
Switzerland	47.00016	8.01427
Romania	46	25
Romania	46	25
Washington DC	47.50012	-120.50147
Washington DC	47.50012	-120.50147
Jerusalem	31.76904	35.21633
Jerusalem	31.76904	35.21633
Gretna	41.14083	-96.23974
Gretna	41.14083	-96.23974
Louisiana	31.00047	-92.0004
Louisiana	31.00047	-92.0004
New Orleans	29.95465	-90.07507
New Orleans	29.95465	-90.07507
Highway 60	40.11189	-87.73915
Highway 60	40.11189	-87.73915
MirandaCleland	NA	NA
East Jerusalem	31.78336	35.23388
